feature,importance,feature_zh,model
risk_tone,0.6371572423104579,风险语调,Text_Logistic
negative_freq,0.6314299041292573,负面词频,Text_Logistic
risk_freq,0.5399192765981261,风险词频,Text_Logistic
positive_freq,0.38355706888687896,正面词频,Text_Logistic
log_char_count,0.3782091612545153,年报文本长度（对数）,Text_Logistic
vague_freq,0.09164742093550261,模糊表达词频,Text_Logistic
uncertainty_freq,0.001118345316016321,不确定性词频,Text_Logistic
roa,0.30532193183898926,总资产收益率,Financial_XGBoost
current_loss,0.19061866402626038,当年亏损标记,Financial_XGBoost
net_margin,0.06679591536521912,销售净利率,Financial_XGBoost
cashflow,0.05879057198762894,经营现金流/总资产,Financial_XGBoost
tangibility,0.05652407556772232,固定资产占比,Financial_XGBoost
growth,0.05245206132531166,营业收入增长率,Financial_XGBoost
size,0.049110691994428635,企业规模,Financial_XGBoost
sigma,0.046687062829732895,收益波动率,Financial_XGBoost
ret,0.04492230340838432,年度股票收益率,Financial_XGBoost
lev,0.04465477913618088,资产负债率,Financial_XGBoost
bm,0.04291703179478645,账面市值比,Financial_XGBoost
turnover,0.041204869747161865,换手率,Financial_XGBoost
roa,0.29489997029304504,总资产收益率,Financial_Text_XGBoost
net_margin,0.07645472884178162,销售净利率,Financial_Text_XGBoost
cashflow,0.05184689164161682,经营现金流/总资产,Financial_Text_XGBoost
tangibility,0.04718533158302307,固定资产占比,Financial_Text_XGBoost
growth,0.04554486647248268,营业收入增长率,Financial_Text_XGBoost
size,0.04149354249238968,企业规模,Financial_Text_XGBoost
lev,0.040117669850587845,资产负债率,Financial_Text_XGBoost
log_char_count,0.03954214230179787,年报文本长度（对数）,Financial_Text_XGBoost
risk_tone,0.03914015367627144,风险语调,Financial_Text_XGBoost
risk_freq,0.03874504193663597,风险词频,Financial_Text_XGBoost
uncertainty_freq,0.038677915930747986,不确定性词频,Financial_Text_XGBoost
sigma,0.03845909237861633,收益波动率,Financial_Text_XGBoost
bm,0.038258906453847885,账面市值比,Financial_Text_XGBoost
positive_freq,0.03576412424445152,正面词频,Financial_Text_XGBoost
vague_freq,0.035215724259614944,模糊表达词频,Financial_Text_XGBoost
turnover,0.03511349484324455,换手率,Financial_Text_XGBoost
ret,0.03404344990849495,年度股票收益率,Financial_Text_XGBoost
negative_freq,0.029496928676962852,负面词频,Financial_Text_XGBoost
current_loss,0.0,当年亏损标记,Financial_Text_XGBoost
