model,roc_auc,pr_auc,f1,precision,recall,accuracy,balanced_accuracy,brier,threshold,train_rows,test_rows
Text_Logistic,0.6319283356907118,0.48477234573546113,0.5596330275229358,0.4288224956063269,0.8052805280528053,0.5362318840579711,0.5931164545025931,0.24718383816557943,0.45499999999999996,1904,828
Financial_XGBoost,0.8681879616533082,0.7597974497763996,0.7657657657657657,0.7024793388429752,0.8415841584158416,0.8115942028985508,0.817934936350778,0.15447479757452387,0.5650000000000001,1904,828
Financial_Text_XGBoost,0.8702121640735502,0.7641875539269831,0.7434715821812596,0.6954022988505747,0.7986798679867987,0.7983091787439613,0.7983875530410184,0.1538387877427319,0.5750000000000001,1904,828
