model,roc_auc,pr_auc,f1,precision,recall,accuracy,balanced_accuracy,brier,threshold,train_rows,test_rows
BGE_Logistic,0.6036209335219236,0.4577546978270069,0.5477099236641222,0.38523489932885907,0.9471947194719472,0.427536231884058,0.5374068835454975,0.2405515127367876,0.35,1904,828
Financial_Lexicon_XGBoost,0.8702121640735502,0.7641875539269831,0.7344461305007587,0.6797752808988764,0.7986798679867987,0.788647342995169,0.7907685054219707,0.1538387877427319,0.56,1904,828
Financial_Lexicon_BGE_Ensemble,0.8654659751689455,0.7388985286833404,0.7480680061823802,0.7034883720930233,0.7986798679867987,0.8031400966183575,0.8021970768505422,0.16118152202042416,0.56,1904,828
