model,roc_auc,pr_auc,f1,precision,recall,accuracy,balanced_accuracy,brier,threshold,train_rows,test_rows
LogisticRegression,0.8515933409137292,0.7362387696228362,0.7238095238095238,0.7102803738317757,0.7378640776699029,0.7986111111111112,0.7851482550511677,0.16844265697721014,0.555,1932,864
XGBoost,0.8644158721828624,0.7543312110561032,0.7448680351906158,0.6809651474530831,0.8220064724919094,0.7986111111111112,0.8037960290387475,0.15663975626595128,0.5650000000000001,1932,864
