candidate,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,colsample_bytree,mean_roc_auc,mean_pr_auc,auc_2021,pr_auc_2021,auc_2022,pr_auc_2022
23,0.9,1.5,0.5,550,6,2,0.04,0.75,0.8201703297638282,0.6614375075298105,0.7834763012503635,0.5857882054800676,0.8568643582772929,0.7370868095795533
27,0.9,3.0,0.1,550,3,3,0.04,0.9,0.820047015250415,0.6648910104940527,0.7850271396723854,0.5998940577709329,0.8550668908284447,0.7298879632171726
17,0.9,3.0,0.0,250,10,4,0.04,0.9,0.8197108095950999,0.6550431632599898,0.7867960647475041,0.595777555215091,0.8526255544426957,0.7143087713048885
5,0.75,3.0,0.5,550,3,4,0.04,0.75,0.8187809184056426,0.664787129783556,0.7862508481147621,0.6045209291684525,0.8513109886965231,0.7250533303986596
18,0.9,3.0,0.0,550,6,3,0.04,0.9,0.8175482552041479,0.6628901949839514,0.7811742754676747,0.5901626302718103,0.853922234940621,0.7356177596960924
26,0.9,6.0,0.1,400,3,3,0.07,0.9,0.8173444605407634,0.6603512003790419,0.7834763012503635,0.59265257515969,0.8512126198311631,0.7280498255983939
7,0.75,6.0,0.1,400,6,4,0.07,0.9,0.8158051850348808,0.6571387307570418,0.7855844722302995,0.5982006570245464,0.846025897839462,0.7160768044895373
8,0.75,3.0,0.5,700,3,4,0.04,0.9,0.8147982513660226,0.6578496050874548,0.7805927110594165,0.5870300534387373,0.8490037916726285,0.7286691567361724
3,0.75,3.0,0.5,700,10,2,0.04,0.75,0.8134153127271975,0.6596084358198557,0.7794901618687603,0.595870892524752,0.8473404635856345,0.7233459791149595
4,0.75,6.0,0.5,700,10,4,0.04,0.75,0.8131585761167804,0.6539737037216649,0.780192885528739,0.5938869722631305,0.8461242667048219,0.7140604351801992
29,0.9,3.0,0.1,700,6,4,0.04,0.75,0.8129325544774918,0.6531714109228909,0.7793205389163516,0.5872886928002587,0.846544570038632,0.719054129045523
2,0.9,3.0,0.5,550,3,3,0.07,0.9,0.8122811670447445,0.6574371353883901,0.7753707473102647,0.5822918149521652,0.8491915867792245,0.7325824558246149
21,0.9,6.0,0.1,400,10,3,0.07,0.75,0.8116543295725529,0.6539814958446581,0.7778908597460502,0.5856433838485191,0.8454177993990556,0.7223196078407971
14,0.75,1.5,0.1,550,10,2,0.07,0.75,0.8077572068761233,0.6517812106046826,0.774934574004071,0.5866931791352314,0.8405798397481756,0.7168692420741338
9,0.75,1.5,0.0,700,6,3,0.07,0.75,0.8070239307672633,0.6545725939120453,0.7790661044877387,0.5925852081860512,0.8349817570467878,0.7165599796380393
19,0.9,3.0,0.1,700,3,4,0.07,0.9,0.8040074749554864,0.6462781479419517,0.7680163807308327,0.5818042298403465,0.8399985691801403,0.7107520660435569
22,0.75,3.0,0.5,700,6,2,0.07,0.9,0.8034125104796078,0.6512074624031785,0.7698580013569836,0.5777484458146859,0.8369670196022321,0.7246664789916712
16,0.75,1.5,0.1,700,10,2,0.07,0.9,0.8012593724109555,0.6463142659669865,0.7731171852282639,0.5907337996519785,0.829401559593647,0.7018947322819946
